location_no,property_jibun_juso,property_doro_juso,zipcode,x_coordinate,y_coordinate,formated_price,jibun_juso
192,강남구 세곡동 541,서울 강남구 자곡로 36,6376,127.094781835548,37.4681093216599,26.25,서울특별시강남구 세곡동 541
193,강남구 세곡동 579,서울 강남구 헌릉로571길 20,6376,127.10286961908,37.4667907761882,12.80,서울특별시강남구 세곡동 579
194,강남구 세곡동 616,서울 강남구 헌릉로569길 21-30,6376,127.100908772257,37.4663233105336,4.50,서울특별시강남구 세곡동 616
195,강남구 수서동 708,서울 강남구 광평로51길 27,6347,127.100945930371,37.4891612481309,18.20,서울특별시강남구 수서동 708
196,강남구 수서동 712,서울 강남구 광평로51길 22,6348,127.103575874815,37.4894700896084,21.10,서울특별시강남구 수서동 712
197,강남구 수서동 713,서울 강남구 밤고개로1길 10,6349,127.101848510057,37.4880167345764,1.86,서울특별시강남구 수서동 713
198,강남구 수서동 716,서울 강남구 광평로 295,6349,127.104189927096,37.4884564569321,2.37,서울특별시강남구 수서동 716
199,강남구 수서동 736,서울 강남구 광평로47길 17,6352,127.098442914101,37.4870725721397,9.00,서울특별시강남구 수서동 736
200,강남구 수서동 738,서울 강남구 광평로39길 3,6352,127.096512817155,37.485322064615,16.10,서울특별시강남구 수서동 738
201,강남구 수서동 746,서울 강남구 광평로19길 10,6354,127.087618357538,37.4847340598121,9.65,서울특별시강남구 수서동 746
